,State,County,City,Street,Zipcode,Property_Type,Status,Price,Year_Built,Beds,Bath,Sqft,Acre,Lot Area,HOA Due,School_rating,WalkScore,Bike_Score,Garage_availability,Redfin_estimate
33,CA,San-Mateo-County,PORTOLA VALLEY,786 La Mesa Dr,94028,Single Family Home,Active,"3,650,000",1972,4.0,4.0,4010.0,"4,010Sq Ft",0.37 Acres,,8,5,9.0,Yes,"3,668,265"
34,CA,San-Mateo-County,REDWOOD CITY,290 Carlos Ave,94061,Single Family Home,Active,"1,795,000",1976,3.0,2.5,2350.0,"2,350Sq Ft","4,680 Sq. Ft.",,6,81,75.0,Yes,"1,788,922"
35,CA,San-Mateo-County,SAN MATEO,222 6th Ave #201,94401,Condo,Active,"2,600,000",2005,3.0,2.5,2544.0,"2,544Sq Ft",,,8,98,84.0,Yes,"2,645,107"
36,CA,San-Mateo-County,BURLINGAME,1517 Cypress Ave,94010,Single Family Home,Active,"2,888,000",1922,3.0,2.0,2080.0,"2,080Sq Ft","6,600 Sq. Ft.",,9,97,80.0,Yes,"2,891,094"
37,CA,San-Mateo-County,MENLO PARK,1990 Sharon Rd,94025,Single Family Home,Active,"2,750,000",1948,3.0,2.0,1766.0,"1,766Sq Ft","7,590 Sq. Ft.",,8,50,74.0,No,"2,771,643"
38,CA,San-Mateo-County,HALF MOON BAY,2044 Touraine Ln,94019,Single Family Home,Active,"1,999,000",1973,4.0,3.0,2710.0,"2,710Sq Ft","8,575 Sq. Ft.",,6,12,57.0,Yes,"2,053,173"
39,CA,San-Mateo-County,MENLO PARK,2339 Sharon Rd,94025,Condo,Active,"998,000",1968,2.0,2.0,1200.0,"1,200Sq Ft",,,8,68,89.0,Yes,"1,000,586"
40,CA,San-Mateo-County,SAN BRUNO,721 Green Ave,94066,Single Family Home,Active,"1,029,000",1931,2.0,1.0,1110.0,"1,110Sq Ft","2,500 Sq. Ft.",,6,95,58.0,Yes,"1,057,939"
41,CA,San-Mateo-County,SAN MATEO,614 Joanne Dr,94402,Single Family Home,Active,"1,798,000",1955,3.0,2.0,1400.0,"1,400Sq Ft","5,005 Sq. Ft.",,8,73,83.0,Yes,"1,818,044"
42,CA,San-Mateo-County,BELMONT,903 Ruth Ave,94002,Single Family Home,Active,"1,998,000",1947,3.0,2.0,1450.0,"1,450Sq Ft","5,500 Sq. Ft.",,9,80,38.0,Yes,"2,044,860"
43,CA,San-Mateo-County,SAN MATEO,1761 Klamath Ave,94403,Single Family Home,Active,"1,278,000",1955,3.0,2.5,1222.0,"1,222Sq Ft","5,782 Sq. Ft.",,8,42,71.0,Yes,"1,343,102"
44,CA,San-Mateo-County,Daly City,69 W Cavour St,94014,Single Family Residential,New,"1,100,000",1931,2.0,1.0,1150.0,"1,150Sq Ft","2,700 Sq. Ft.",,7,90,43.0,Yes,"1,106,046"
45,CA,San-Mateo-County,Pacifica,1 Ohlone Dr,94044,Vacant Land,Active,"2,000,000",1931,,,,1.19,1.19 Acres,,7,35,28.0,No,"1,974,457"
46,CA,San-Mateo-County,REDWOOD CITY,814 Intrepid Ln,94065,Townhouse,Active,"1,750,000",1989,3.0,3.0,1939.0,"1,939Sq Ft",11.81 Acres,,9,14,71.0,Yes,"1,758,870"
47,CA,San-Mateo-County,MILLBRAE,301 San Pablo Ave,94030,Single Family Home,Active,"1,398,000",1952,3.0,1.0,1140.0,"1,140Sq Ft","5,000 Sq. Ft.",,9,79,74.0,Yes,"1,421,808"
48,CA,San-Mateo-County,BURLINGAME,40 Bloomfield Rd,94010,Single Family Home,Active,"2,980,000",1915,5.0,4.0,3380.0,"3,380Sq Ft","5,800 Sq. Ft.",,9,87,74.0,Yes,"2,983,344"
49,CA,San-Mateo-County,SAN BRUNO,3695 Sunset Dr,94066,Single Family Home,Active,"1,699,000",1959,4.0,3.0,1559.0,"1,559Sq Ft","5,000 Sq. Ft.",,7,7,9.0,Yes,"1,732,973"
50,CA,San-Mateo-County,South San Francisco,3612 Callan Blvd,94080,Single Family Residential,Active,"1,250,000",1974,3.0,2.5,1540.0,"1,540Sq Ft","2,500 Sq. Ft.",,8,70,32.0,Yes,"1,261,995"
51,CA,San-Mateo-County,EAST PALO ALTO,235 Gardenia Way,94303,Single Family Home,Active,"998,000",1954,4.0,3.0,1370.0,"1,370Sq Ft","6,400 Sq. Ft.",,7,45,73.0,Yes,"1,008,061"
52,CA,San-Mateo-County,SAN CARLOS,6 Coleman Ct,94070,Single Family Home,Active,"2,100,000",1961,3.0,2.0,1720.0,"1,720Sq Ft",0.30 Acres,,9,26,22.0,Yes,"2,369,461"
53,CA,San-Mateo-County,MENLO PARK,2033 Oakley Ave,94025,Single Family Home,Active,"3,350,000",1932,3.0,2.0,2420.0,"2,420Sq Ft","6,000 Sq. Ft.",,8,51,76.0,Yes,"3,381,198"
54,CA,San-Mateo-County,SAN CARLOS,2116 Greenwood Ave,94070,Single Family Home,Active,"1,988,000",1946,2.0,1.0,1070.0,"1,070Sq Ft","7,920 Sq. Ft.",,9,52,59.0,Yes,"1,972,606"
55,CA,San-Mateo-County,MILLBRAE,20 El Bonito Way,94030,Single Family Home,Active,"1,898,000",1941,3.0,2.0,1830.0,"1,830Sq Ft","8,632 Sq. Ft.",,9,21,10.0,Yes,"1,946,108"
56,CA,San-Mateo-County,REDWOOD CITY,550 Sapphire St,94062,Single Family Home,Active,"1,998,000",1936,3.0,2.0,2720.0,"2,720Sq Ft","8,160 Sq. Ft.",,6,70,68.0,Yes,"2,067,895"
57,CA,San-Mateo-County,South San Francisco,865 Baden Ave,94080,Multi-Family (2-4 Unit),Active,"1,498,000",1944,4.0,1.0,1680.0,"1,680Sq Ft","6,300 Sq. Ft.",,5,75,59.0,No,"1,436,296"
58,CA,San-Mateo-County,MENLO PARK,548 Placitas Ave,94025,Single Family Home,Active,"3,998,000",1997,4.0,3.5,3585.0,"3,585Sq Ft","8,800 Sq. Ft.",,7,55,65.0,Yes,"4,000,463"
59,CA,San-Mateo-County,MENLO PARK,520 Hobart St,94025,Single Family Home,Active,"6,498,000",2022,6.0,5.0,3718.0,"3,718Sq Ft","10,640 Sq. Ft.",,9,23,69.0,Yes,"6,501,325"
60,CA,San-Mateo-County,MENLO PARK,851 Stanford Ave,94025,Single Family Home,Active,"3,788,000",1950,3.0,2.0,1720.0,"1,720Sq Ft","10,028 Sq. Ft.",,9,34,78.0,Yes,
61,CA,San-Mateo-County,REDWOOD CITY,2047 Seabrook Ct,94065,Single Family Home,Active,"3,888,888",1998,4.0,4.0,3510.0,"3,510Sq Ft","6,384 Sq. Ft.",,9,6,68.0,Yes,"3,908,944"
62,CA,San-Mateo-County,ATHERTON,198 James Ave,94027,Single Family Home,Active,"5,850,000",1951,5.0,4.0,3830.0,"3,830Sq Ft",0.97 Acres,,8,3,46.0,No,"5,614,524"
63,CA,San-Mateo-County,Millbrae,375 La Prenda,94030,Single Family Residential,Active,"2,688,888",1957,3.0,3.5,1920.0,"1,920Sq Ft",0.30 Acres,,9,7,15.0,Yes,"2,836,746"
64,CA,San-Mateo-County,Redwood City,845 California Way,94062,Single Family Residential,Active,"3,250,000",1997,5.0,3.5,3440.0,"3,440Sq Ft",0.30 Acres,,8,17,18.0,Yes,"3,484,755"
65,CA,San-Mateo-County,HILLSBOROUGH,837 Chiltern Rd,94010,Single Family Home,Active,"4,999,999",2008,5.0,6.5,5440.0,"5,440Sq Ft",0.55 Acres,,9,5,4.0,Yes,"5,005,521"
66,CA,San-Mateo-County,MENLO PARK,1326 Hoover St #1,94025,Condo,Active,"1,988,000",1973,2.0,2.0,1360.0,"1,360Sq Ft",,,8,92,97.0,Yes,
67,CA,San-Mateo-County,PORTOLA VALLEY,5 Valley Oak St,94028,Single Family Home,Pending (Do Not Show),"3,295,000",1984,3.0,3.0,2720.0,"2,720Sq Ft",0.41 Acres,,8,7,5.0,Yes,"3,295,707"
68,CA,San-Mateo-County,San Mateo,626 Mariners Island Blvd #209,94404,Condo,Active,"520,000",1968,,1.0,519.0,519Sq Ft,0.61 Acres,,8,55,73.0,No,"518,551"
69,CA,San-Mateo-County,MENLO PARK,316 Laurel Ave,94025,Single Family Home,Active,"2,895,000",1953,3.0,2.0,1955.0,"1,955Sq Ft","7,840 Sq. Ft.",,8,75,85.0,Yes,"2,899,821"
70,CA,San-Mateo-County,MENLO PARK,520 Kenwood Dr,94025,Single Family Home,Active,"2,075,000",1945,2.0,1.0,1050.0,"1,050Sq Ft","5,035 Sq. Ft.",,9,91,95.0,Yes,"2,174,249"
71,CA,San-Mateo-County,PACIFICA,548 Inverness Dr,94044,Single Family Home,Active,"1,298,000",1955,4.0,2.0,1780.0,"1,780Sq Ft","5,000 Sq. Ft.",,7,42,12.0,Yes,"1,308,995"
72,CA,San-Mateo-County,SAN CARLOS,657 Walnut St #434,94070,Condo,Active,"1,599,000",2020,3.0,2.0,1497.0,"1,497Sq Ft","1,492 Sq. Ft.",,9,97,74.0,Yes,"1,594,576"
73,CA,San-Mateo-County,EAST PALO ALTO,239 Gardenia Way,94303,Single Family Home,Active,"979,000",1954,3.0,2.0,1570.0,"1,570Sq Ft","7,250 Sq. Ft.",,7,45,73.0,Yes,"979,927"
74,CA,San-Mateo-County,San Mateo,200 Elm St #104,94401,Condo,Active,"720,000",1962,1.0,1.0,865.0,865Sq Ft,0.91 Acres,,7,88,70.0,Yes,
75,CA,San-Mateo-County,Daly City,1516 Annie St,94015,Single Family Residential,Active,"1,399,000",2016,4.0,3.0,1890.0,"1,890Sq Ft","3,013 Sq. Ft.",,7,84,43.0,Yes,
76,CA,San-Mateo-County,BURLINGAME,1011 Chula Vista Ave,94010,Single Family Home,Active,"1,950,000",1922,2.0,1.0,1845.0,"1,845Sq Ft","4,830 Sq. Ft.",,9,88,84.0,Yes,"1,905,780"
77,CA,San-Mateo-County,EAST PALO ALTO,332 Azalia Dr,94303,Single Family Home,Active,"1,100,000",1951,3.0,2.0,1130.0,"1,130Sq Ft","5,000 Sq. Ft.",,7,47,76.0,Yes,"1,098,562"
78,CA,San-Mateo-County,SAN CARLOS,436 Portofino Dr #204,94070,Townhouse,Active,"1,688,000",1988,3.0,2.5,2113.0,"2,113Sq Ft",1.67 Acres,,9,18,16.0,Yes,"1,715,264"
79,CA,San-Mateo-County,SAN CARLOS,618 Walnut St #404,94070,Condo,Active,"1,149,000",2003,2.0,2.0,1310.0,"1,310Sq Ft",,,9,96,73.0,Yes,"1,161,833"
80,CA,San-Mateo-County,SAN BRUNO,2620 Fleetwood Dr,94066,Single Family Home,Active,"1,198,000",1954,3.0,2.0,1110.0,"1,110Sq Ft","6,215 Sq. Ft.",,6,25,34.0,No,"1,208,677"
81,CA,San-Mateo-County,MENLO PARK,1437 Chilco St,94025,Single Family Home,Active,"1,207,000",1954,3.0,1.0,910.0,910Sq Ft,"5,000 Sq. Ft.",,7,51,79.0,Yes,"1,203,569"
82,CA,San-Mateo-County,REDWOOD CITY,788 Arguello St #109,94063,Condo,Active,"798,000",1980,2.0,1.5,1026.0,"1,026Sq Ft",,,9,98,86.0,Yes,"804,746"
83,CA,San-Mateo-County,EL GRANADA,0 Avenue Balboa,94018,Residential Lot,Active,"625,000",1980,,,6250.0,"6,250Sq Ft (Lot)","6,250 Sq. Ft.",,6,48,28.0,No,"597,275"
84,CA,San-Mateo-County,REDWOOD CITY,872 Chesterton Ave,94061,Single Family Home,Active,"1,998,000",1972,4.0,2.0,1420.0,"1,420Sq Ft","7,670 Sq. Ft.",,8,60,56.0,Yes,"2,027,649"
85,CA,San-Mateo-County,SAN MATEO,3090 Los Prados St #20,94403,Condo,Active,"689,000",1966,2.0,2.0,900.0,900Sq Ft,,,7,36,81.0,Yes,"694,581"
86,CA,San-Mateo-County,EL GRANADA,538 Valencia Ave,94018,Single Family Home,Active,"2,775,000",2022,6.0,4.0,2827.0,"2,827Sq Ft","6,250 Sq. Ft.",,6,67,47.0,Yes,"2,786,217"
87,CA,San-Mateo-County,DALY CITY,371 Imperial Way #108,94015,Condo,Active,"625,000",1974,1.0,1.0,817.0,817Sq Ft,,,7,54,29.0,Yes,"619,670"
88,CA,San-Mateo-County,FOSTER CITY,1037 Lido Ln,94404,Condo,Active,"1,388,000",1975,2.0,2.0,1395.0,"1,395Sq Ft",,,9,59,47.0,Yes,"1,400,827"
89,CA,San-Mateo-County,BURLINGAME,1857 Hunt Dr,94010,Single Family Home,Active,"3,575,000",1965,4.0,2.5,2670.0,"2,670Sq Ft","10,440 Sq. Ft.",,9,7,29.0,Yes,"3,597,116"
90,CA,San-Mateo-County,Pacifica,131 Eastridge Cir,94044,Single Family Residential,Active,"1,188,000",1966,4.0,2.0,1470.0,"1,470Sq Ft","4,000 Sq. Ft.",,7,54,38.0,Yes,"1,274,160"
91,CA,San-Mateo-County,SOUTH SAN FRANCISCO,Northcrest Dr #25,94080,Townhouse,Active,"1,350,000",1997,3.0,2.5,1950.0,"1,950Sq Ft","2,016 Sq. Ft.",,5,28,20.0,Yes,"1,322,831"
92,CA,San-Mateo-County,Daly City,8 Randall Ct,94015,Single Family Residential,Active,"1,089,000",1950,3.0,1.5,1010.0,"1,010Sq Ft","7,314 Sq. Ft.",,7,61,23.0,Yes,
93,CA,San-Mateo-County,SAN MATEO,412 E Bellevue Ave,94401,5+ Units,Active,"3,200,000",1946,4.0,5.0,2912.0,"2,912Sq Ft","10,000 Sq. Ft.",,7,84,71.0,No,
94,CA,San-Mateo-County,Daly City,730 Pointe Pacific #5,94014,Condo,Active,"1,060,000",1986,2.0,2.5,1705.0,"1,705Sq Ft",5.18 Acres,,7,36,15.0,Yes,"1,060,319"
95,CA,San-Mateo-County,MENLO PARK,740 Olive St,94025,Single Family Home,Active,"7,495,000",2022,4.0,4.5,3997.0,"3,997Sq Ft","10,690 Sq. Ft.",,9,16,67.0,Yes,"7,489,795"
96,CA,San-Mateo-County,REDWOOD CITY,1090 Main St #302,94063,Condo,Active,"595,000",1983,1.0,1.0,680.0,680Sq Ft,,,9,98,86.0,No,"597,913"
97,CA,San-Mateo-County,REDWOOD CITY,1614 Hudson St #114,94061,Condo,Active,"499,999",1964,1.0,1.0,606.0,606Sq Ft,,,6,88,73.0,No,"504,482"
98,CA,San-Mateo-County,MENLO PARK,1868 Valparaiso Ave,94025,Single Family Home,Active,"5,988,000",2018,4.0,4.5,3608.0,"3,608Sq Ft",0.25 Acres,,9,37,76.0,Yes,
99,CA,San-Mateo-County,HILLSBOROUGH,105 Stonepine Rd,94010,Single Family Home,Active,"6,895,000",1994,5.0,4.5,4850.0,"4,850Sq Ft",1.41 Acres,,9,3,5.0,Yes,"6,916,097"
100,CA,San-Mateo-County,Menlo Park,474 Oconnor St,94025,Single Family Residential,Active,"2,498,000",1929,2.0,1.0,1560.0,"1,560Sq Ft","10,240 Sq. Ft.",,8,62,80.0,Yes,"2,710,530"
101,CA,San-Mateo-County,HILLSBOROUGH,430 Moseley Rd,94010,Single Family Home,Active,"4,999,999",1963,4.0,3.0,3392.0,"3,392Sq Ft",0.69 Acres,,9,3,8.0,Yes,"5,010,765"
102,CA,San-Mateo-County,SOUTH SAN FRANCISCO,115 Dundee Dr,94080,Single Family Home,Active,"1,399,000",1952,3.0,2.0,2070.0,"2,070Sq Ft",0.34 Acres,,7,46,19.0,Yes,"1,417,391"
103,CA,San-Mateo-County,SAN CARLOS,760 Sunset Dr,94070,Single Family Home,Active,"2,495,000",1963,3.0,2.0,1860.0,"1,860Sq Ft",0.29 Acres,,9,21,26.0,Yes,
104,CA,San-Mateo-County,HILLSBOROUGH,1290 Lakeview Dr,94010,Single Family Home,Active,"4,995,000",1978,4.0,3.5,4457.0,"4,457Sq Ft",0.52 Acres,,9,1,,Yes,"4,989,441"
105,CA,San-Mateo-County,PACIFICA,1089 Grand Teton Dr,94044,Single Family Home,Active,"1,498,000",1967,3.0,2.0,1450.0,"1,450Sq Ft","6,144 Sq. Ft.",,7,28,12.0,Yes,"1,599,821"
106,CA,San-Mateo-County,FOSTER CITY,6102 Admiralty Ln,94404,Condo,Active,"595,000",1965,1.0,1.0,748.0,748Sq Ft,9.94 Acres,,8,71,52.0,Yes,"602,999"
107,CA,San-Mateo-County,PACIFICA,921 Fassler Ave,94044,Townhouse,Active,"1,098,000",1988,2.0,2.5,1450.0,"1,450Sq Ft","1,176 Sq. Ft.",,7,15,3.0,Yes,"1,118,946"
108,CA,San-Mateo-County,SAN BRUNO,271 El Camino Real,94066,Residential Development Land,Active,"5,690,000",1988,,,,—Sq Ft,0.57 Acres,,7,93,47.0,No,
109,CA,San-Mateo-County,MILLBRAE,1112 Millbrae Ave,94030,Single Family Home,Active,"2,830,000",1959,6.0,4.0,3203.0,"3,203Sq Ft","6,400 Sq. Ft.",,9,45,16.0,Yes,"2,857,803"
110,CA,San-Mateo-County,SAN CARLOS,290 Oakview Dr,94070,Single Family Home,Active,"3,149,000",2008,4.0,3.0,2590.0,"2,590Sq Ft","6,950 Sq. Ft.",,9,9,26.0,Yes,"3,221,481"
111,CA,San-Mateo-County,SOUTH SAN FRANCISCO,761 Miller Ave,94080,Single Family Home,Active,"1,649,000",1926,4.0,2.0,2241.0,"2,241Sq Ft","5,600 Sq. Ft.",,5,65,51.0,Yes,"1,651,991"
112,CA,San-Mateo-County,REDWOOD CITY,55 Agua Vista Ct,94062,Single Family Home,Active,"3,295,000",1935,4.0,2.0,2220.0,"2,220Sq Ft",0.51 Acres,,8,12,7.0,No,"3,318,806"
113,CA,San-Mateo-County,EAST PALO ALTO,1650 Bay Rd,94303,5+ Units,Active,"1,900,000",1960,3.0,5.0,3680.0,"3,680Sq Ft","8,979 Sq. Ft.",,7,75,75.0,Yes,
114,CA,San-Mateo-County,EL GRANADA,001 Columbus,94018,Residential Lot,Active,"265,000",1960,,,2832.0,"2,832Sq Ft (Lot)","2,832 Sq. Ft.",,,53,23.0,No,"265,145"
115,CA,San-Mateo-County,Pacifica,175 beachview Ave,94044,Single Family Residential,Active,"1,288,888",1964,4.0,2.5,1610.0,"1,610Sq Ft","5,880 Sq. Ft.",,7,35,20.0,Yes,"1,309,805"
116,CA,San-Mateo-County,MENLO PARK,2319 Warner Range Ave,94025,Single Family Home,Active,"4,188,000",1959,3.0,2.0,2010.0,"2,010Sq Ft",0.32 Acres,,8,56,53.0,Yes,"4,231,124"
117,CA,San-Mateo-County,PACIFICA,524 Monterey Rd,94044,5+ Units,Active,"4,500,000",1991,8.0,8.0,13825.0,"13,825Sq Ft",0.67 Acres,,7,41,10.0,Yes,
118,CA,San-Mateo-County,San Mateo,262 Waters Park Cir,94403,Condo,New,"1,401,275",2021,2.0,2.5,1449.0,"1,449Sq Ft",,,7,42,71.0,Yes,"1,393,844"
119,CA,San-Mateo-County,PACIFICA,269 Catalina Ave,94044,Single Family Home,Active,"1,289,000",1964,4.0,2.0,1575.0,"1,575Sq Ft","4,000 Sq. Ft.",,7,45,20.0,Yes,"1,305,598"
120,CA,San-Mateo-County,SOUTH SAN FRANCISCO,3749 Brunswick Ct,94080,Single Family Home,Active,"1,249,000",1970,4.0,2.0,1820.0,"1,820Sq Ft","2,500 Sq. Ft.",,7,65,30.0,Yes,"1,288,770"
121,CA,San-Mateo-County,PORTOLA VALLEY,246 La Cuesta Dr,94028,Single Family Home,Active,"3,650,000",1949,4.0,3.5,2610.0,"2,610Sq Ft",0.45 Acres,,8,42,35.0,Yes,"3,662,480"
122,CA,San-Mateo-County,Burlingame,723 Winchester Dr,94010,Single Family Residential,Active,"2,550,000",1928,4.0,2.0,2235.0,"2,235Sq Ft","6,000 Sq. Ft.",,9,77,78.0,Yes,
123,CA,San-Mateo-County,SAN MATEO,22 Avila Rd,94402,Single Family Home,Active,"3,450,000",1936,4.0,3.0,2645.0,"2,645Sq Ft","5,500 Sq. Ft.",,8,86,79.0,Yes,"3,479,907"
124,CA,San-Mateo-County,San Carlos,11 Hilltop Dr,94070,Single Family Residential,Active,"2,749,000",1936,4.0,3.0,,—Sq Ft,"6,400 Sq. Ft.",,9,24,38.0,No,"2,757,633"
125,CA,San-Mateo-County,Menlo Park,2140 Santa Cruz Ave Unit B105,94025,Condo,Active,"1,050,000",1979,2.0,2.0,960.0,960Sq Ft,1.94 Acres,,8,46,91.0,Yes,"1,021,211"
